Season,Round,Track,Team,Points,Cost
2023,1,Bahrain,Red Bull Racing Honda RBPT,78,27.2
2023,1,Bahrain,Aston Martin Aramco Mercedes,56,6.7
2023,1,Bahrain,Ferrari,31,22.1
2023,1,Bahrain,Mercedes,45,25.1
2023,1,Bahrain,Alfa Romeo Ferrari,31,6.2
2023,1,Bahrain,Alpine Renault,8,10.1
2023,1,Bahrain,Williams Mercedes,25,5.1
2023,1,Bahrain,AlphaTauri Honda RBPT,17,6.4
2023,1,Bahrain,Haas Ferrari,12,5.3
2023,1,Bahrain,McLaren Mercedes,-16,9.1
2023,2,Saudi Arabia,Red Bull Racing Honda RBPT,95,27.3
2023,2,Saudi Arabia,Aston Martin Aramco Mercedes,19,6.8
2023,2,Saudi Arabia,Mercedes,44,25.1
2023,2,Saudi Arabia,Ferrari,59,22.1
2023,2,Saudi Arabia,Alpine Renault,28,10.0
2023,2,Saudi Arabia,Haas Ferrari,13,5.3
2023,2,Saudi Arabia,AlphaTauri Honda RBPT,15,6.3
2023,2,Saudi Arabia,Alfa Romeo Ferrari,7,6.2
2023,2,Saudi Arabia,McLaren Mercedes,14,9.0
2023,2,Saudi Arabia,Williams Mercedes,-16,5.1
2023,3,Australia,Red Bull Racing Honda RBPT,98,27.4
2023,3,Australia,Mercedes,32,25.1
2023,3,Australia,Aston Martin Aramco Mercedes,54,6.8
2023,3,Australia,McLaren Mercedes,36,9.0
2023,3,Australia,Haas Ferrari,18,5.2
2023,3,Australia,Alfa Romeo Ferrari,26,6.1
2023,3,Australia,AlphaTauri Honda RBPT,13,6.3
2023,3,Australia,Ferrari,3,22.2
2023,3,Australia,Alpine Renault,11,10.0
2023,3,Australia,Williams Mercedes,-5,5.0
2023,4,Azerbaijan,Red Bull Racing Honda RBPT,108,27.5
2023,4,Azerbaijan,Ferrari,63,22.1
2023,4,Azerbaijan,Aston Martin Aramco Mercedes,55,6.9
2023,4,Azerbaijan,Mercedes,49,25.1
2023,4,Azerbaijan,McLaren Mercedes,23,9.0
2023,4,Azerbaijan,AlphaTauri Honda RBPT,-23,6.2
2023,4,Azerbaijan,Williams Mercedes,5,4.9
2023,4,Azerbaijan,Haas Ferrari,17,5.2
2023,4,Azerbaijan,Alpine Renault,25,9.9
2023,4,Azerbaijan,Alfa Romeo Ferrari,-10,6.1
2023,5,Miami,Red Bull Racing Honda RBPT,97,27.6
2023,5,Miami,Aston Martin Aramco Mercedes,42,7.0
2023,5,Miami,Mercedes,57,25.1
2023,5,Miami,Ferrari,56,22.2
2023,5,Miami,Alpine Renault,28,9.9
2023,5,Miami,Haas Ferrari,15,5.2
2023,5,Miami,AlphaTauri Honda RBPT,17,6.1
2023,5,Miami,Alfa Romeo Ferrari,8,6.0
2023,5,Miami,Williams Mercedes,1,4.8
2023,5,Miami,McLaren Mercedes,8,9.0
2023,6,Monaco,Red Bull Racing Honda RBPT,63,27.7
2023,6,Monaco,Aston Martin Aramco Mercedes,15,7.0
2023,6,Monaco,Alpine Renault,42,9.9
2023,6,Monaco,Mercedes,54,25.1
2023,6,Monaco,Ferrari,37,22.2
2023,6,Monaco,McLaren Mercedes,15,8.9
2023,6,Monaco,Alfa Romeo Ferrari,22,5.9
