Track,Length,Turns,DRS Zones,Track Type
Bahrain,5.412,15,3,Permanent
Saudi Arabia,6.174,27,3,Street
Australia,5.278,14,4,Street
Japan,5.807,18,1,Permanent
China,5.451,16,2,Permanent
Miami,5.412,19,3,Street
Emilia Romagna,4.909,19,1,Permanent
Monaco,3.337,19,1,Street
Canada,4.361,14,3,Hybrid
Spain,4.657,14,2,Permanent
Austria,4.318,10,3,Permanent
Great Britain,5.891,18,2,Permanent
Hungary,4.381,14,2,Permanent
Belgium,7.004,19,2,Permanent
Netherlands,4.259,14,2,Permanent
Italy,5.793,11,2,Permanent
Azerbaijan,6.003,20,2,Street
Singapore,4.94,19,4,Street
United States,5.513,20,2,Permanent
Mexico,4.304,17,3,Permanent
Brazil,4.309,15,2,Permanent
Las Vegas,6.201,17,2,Street
Qatar,5.419,16,1,Permanent
Abu Dhabi,5.281,16,2,Permanent
