Season,Round,Track,Points
2024,1,Bahrain,196
2024,2,Saudi Arabia,151
2024,3,Australia,153
2024,4,Japan,185
2024,5,China,288
2024,6,Miami,204
2024,7,Emilia Romagna,167
2024,8,Monaco,84
2024,9,Canada,16
2024,10,Spain,183
2024,11,Austria,201
2024,12,Great Britain,93
2024,13,Hungary,164
2024,14,Belgium,143
2024,15,Netherlands,225
2024,16,Italy,167
2024,17,Azerbaijan,208
2024,18,Singapore,211
2024,19,United States,377
2024,20,Mexico,236
2024,21,Brazil,61
2024,22,Las Vegas,183
2024,23,Qatar,167
2024,24,Abu Dhabi,168
2025,1,Australia,105
2025,2,China,211
2025,3,Japan,191
2025,4,Bahrain,275
2025,5,Saudi Arabia,225
2025,6,Miami,256
2025,7,Emilia Romagna,158
2025,8,Monaco,253
2025,9,Spain,243
2025,10,Canada,150
2025,11,Austria,242
2025,12,Great Britain,81
2025,13,Belgium,214
2025,14,Hungary,292
2025,15,Netherlands,149
2025,16,Italy,238
2025,17,Azerbaijan,32
2025,18,Singapore,157
2025,19,United States,83
2025,20,Mexico,128
2025,21,Brazil,205
2025,22,Las Vegas,132
2025,23,Qatar,196
2025,24,Abu Dhabi,219
